"Notes"	"State of Residence"	"State of Residence Code"	"County of Residence"	"County of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"March"	"3"	164
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"April"	"4"	152
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"May"	"5"	162
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"June"	"6"	146
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"July"	"7"	168
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"August"	"8"	167
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"September"	"9"	183
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"October"	"10"	189
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"November"	"11"	185
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2022"	"2022"	"December"	"12"	164
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"January"	"1"	365
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"February"	"2"	336
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"March"	"3"	385
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"April"	"4"	357
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"May"	"5"	373
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"June"	"6"	381
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"July"	"7"	385
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"August"	"8"	425
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"September"	"9"	403
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"October"	"10"	375
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"November"	"11"	368
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2022"	"2022"	"December"	"12"	361
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"January"	"1"	405
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"February"	"2"	375
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"March"	"3"	417
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"April"	"4"	394
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"May"	"5"	360
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"June"	"6"	388
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"July"	"7"	449
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"August"	"8"	480
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"September"	"9"	446
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"October"	"10"	433
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"November"	"11"	403
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2022"	"2022"	"December"	"12"	451
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"January"	"1"	262
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"February"	"2"	244
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"March"	"3"	214
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"April"	"4"	216
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"May"	"5"	233
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"June"	"6"	238
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"July"	"7"	247
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"August"	"8"	277
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"September"	"9"	250
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"October"	"10"	242
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"November"	"11"	277
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"2022"	"2022"	"December"	"12"	237
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"January"	"1"	122
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"February"	"2"	112
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"March"	"3"	122
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"April"	"4"	115
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"May"	"5"	127
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"June"	"6"	140
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"July"	"7"	143
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"August"	"8"	138
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"September"	"9"	115
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"October"	"10"	116
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"November"	"11"	107
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"2022"	"2022"	"December"	"12"	128
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"January"	"1"	209
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"February"	"2"	180
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"March"	"3"	209
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"April"	"4"	202
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"May"	"5"	186
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"June"	"6"	176
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"July"	"7"	222
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"August"	"8"	233
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"September"	"9"	205
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"October"	"10"	195
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"November"	"11"	211
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"2022"	"2022"	"December"	"12"	215
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"January"	"1"	230
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"February"	"2"	199
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"March"	"3"	186
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"April"	"4"	213
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"May"	"5"	196
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"June"	"6"	218
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"July"	"7"	207
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"August"	"8"	241
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"September"	"9"	202
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"October"	"10"	199
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"November"	"11"	203
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"2022"	"2022"	"December"	"12"	245
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"January"	"1"	1932
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"February"	"2"	1757
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"March"	"3"	1938
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"April"	"4"	1741
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"May"	"5"	1831
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"June"	"6"	1895
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"July"	"7"	1927
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"August"	"8"	2175
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"September"	"9"	2046
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"October"	"10"	1920
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"November"	"11"	1974
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"2022"	"2022"	"December"	"12"	2057
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"January"	"1"	296
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"February"	"2"	285
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"March"	"3"	305
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"April"	"4"	299
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"May"	"5"	302
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"June"	"6"	295
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"July"	"7"	317
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"August"	"8"	318
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"September"	"9"	308
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"October"	"10"	311
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"November"	"11"	296
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2022"	"2022"	"December"	"12"	311
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"January"	"1"	438
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"February"	"2"	435
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"March"	"3"	528
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"April"	"4"	480
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"May"	"5"	496
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"June"	"6"	521
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"July"	"7"	495
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"August"	"8"	508
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"September"	"9"	489
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"October"	"10"	455
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"November"	"11"	429
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"2022"	"2022"	"December"	"12"	442
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"January"	"1"	116
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"February"	"2"	76
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"March"	"3"	103
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"April"	"4"	91
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"May"	"5"	95
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"June"	"6"	87
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"July"	"7"	99
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"August"	"8"	134
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"September"	"9"	126
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"October"	"10"	96
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"November"	"11"	112
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2022"	"2022"	"December"	"12"	102
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"January"	"1"	115
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"February"	"2"	101
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"March"	"3"	106
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"April"	"4"	89
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"May"	"5"	117
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"June"	"6"	97
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"July"	"7"	106
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"August"	"8"	117
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"September"	"9"	118
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"October"	"10"	99
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"November"	"11"	132
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2022"	"2022"	"December"	"12"	121
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"January"	"1"	4229
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"February"	"2"	3913
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"March"	"3"	4152
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"April"	"4"	3889
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"May"	"5"	3841
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"June"	"6"	4066
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"July"	"7"	4317
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"August"	"8"	4614
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"September"	"9"	4368
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"October"	"10"	4304
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"November"	"11"	4425
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2022"	"2022"	"December"	"12"	4588
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"January"	"1"	124
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"February"	"2"	122
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"March"	"3"	142
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"April"	"4"	132
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"May"	"5"	122
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"June"	"6"	142
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"July"	"7"	144
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"August"	"8"	161
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"September"	"9"	167
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"October"	"10"	169
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"November"	"11"	144
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2022"	"2022"	"December"	"12"	160
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"January"	"1"	103
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"February"	"2"	84
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"March"	"3"	101
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"April"	"4"	104
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"May"	"5"	107
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"June"	"6"	111
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"July"	"7"	113
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"August"	"8"	101
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"September"	"9"	110
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"October"	"10"	89
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"November"	"11"	97
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2022"	"2022"	"December"	"12"	110
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"January"	"1"	836
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"February"	"2"	767
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"March"	"3"	888
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"April"	"4"	774
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"May"	"5"	818
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"June"	"6"	790
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"July"	"7"	847
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"August"	"8"	885
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"September"	"9"	854
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"October"	"10"	829
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"November"	"11"	842
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2022"	"2022"	"December"	"12"	867
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"January"	"1"	435
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"February"	"2"	394
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"March"	"3"	404
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"April"	"4"	359
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"May"	"5"	403
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"June"	"6"	406
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"July"	"7"	481
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"August"	"8"	416
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"September"	"9"	488
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"October"	"10"	436
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"November"	"11"	443
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2022"	"2022"	"December"	"12"	468
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"January"	"1"	163
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"February"	"2"	136
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"March"	"3"	162
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"April"	"4"	140
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"May"	"5"	124
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"June"	"6"	148
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"July"	"7"	145
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"August"	"8"	181
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"September"	"9"	155
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"October"	"10"	152
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"November"	"11"	143
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2022"	"2022"	"December"	"12"	145
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2022"	"2022"	"January"	"1"	246
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2022"	"2022"	"February"	"2"	232
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2022"	"2022"	"March"	"3"	225
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2022"	"2022"	"April"	"4"	192
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2022"	"2022"	"May"	"5"	205
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2022"	"2022"	"June"	"6"	224
